instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
1,0,1,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
2,0,2,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
3,0,3,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
4,0,4,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
5,0,5,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
6,0,6,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
7,0,7,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
8,0,8,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
9,0,9,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
10,0,10,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
11,0,11,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
12,0,12,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
13,0,13,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
14,0,14,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
15,0,15,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
16,0,16,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
17,0,17,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
18,0,18,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
19,0,19,0,1,2020_Jul_31_1547,Retriever,2020.1.2,59.757612962986414,
