instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution
0,0,0,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
1,0,1,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
2,0,2,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
3,0,3,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
4,0,4,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
5,0,5,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
6,0,6,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
7,0,7,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
8,0,8,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
9,0,9,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
10,0,10,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
11,0,11,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
12,0,12,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
13,0,13,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
14,0,14,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
15,0,15,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
16,0,16,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
17,0,17,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
18,0,18,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
19,0,19,0,1,37,2020-07-03_18h06.37.755,retriever_ti,2020.1.3,Win32,60,Chrome,1920,1080
