instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns
0,0,0,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,4,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,5,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,6,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,7,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,8,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,9,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,10,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,11,0,1,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
